genre_id,genre_name
1,acoustic
2,afrobeat
3,alt-rock
4,alternative
5,ambient
6,anime
7,black-metal
8,bluegrass
9,blues
10,brazil
11,breakbeat
12,british
13,cantopop
14,chicago-house
15,children
16,chill
17,classical
18,club
19,comedy
20,country
21,dance
22,dancehall
23,death-metal
24,deep-house
25,detroit-techno
26,disco
27,disney
28,drum-and-bass
29,dub
30,dubstep
31,edm
32,electro
33,electronic
34,emo
35,folk
36,forro
37,french
38,funk
39,garage
40,german
41,gospel
42,goth
43,grindcore
44,groove
45,grunge
46,guitar
47,happy
48,hard-rock
49,hardcore
50,hardstyle
51,heavy-metal
52,hip-hop
53,honky-tonk
54,house
55,idm
56,indian
57,indie-pop
58,indie
59,industrial
60,iranian
61,j-dance
62,j-idol
63,j-pop
64,j-rock
65,jazz
66,k-pop
67,kids
68,latin
69,latino
70,malay
71,mandopop
72,metal
73,metalcore
74,minimal-techno
75,mpb
76,new-age
77,opera
78,pagode
79,party
80,piano
81,pop-film
82,pop
83,power-pop
84,progressive-house
85,psych-rock
86,punk-rock
87,punk
88,r-n-b
89,reggae
90,reggaeton
91,rock-n-roll
92,rock
93,rockabilly
94,romance
95,sad
96,salsa
97,samba
98,sertanejo
99,show-tunes
100,singer-songwriter
101,ska
102,sleep
103,songwriter
104,soul
105,spanish
106,study
107,swedish
108,synth-pop
109,tango
110,techno
111,trance
112,trip-hop
113,turkish
114,world-music
